,kappa,ev1,ev2,ev_diff,ev_diff_squared,model_diff_squared_real,model_diff_squared_imag,model_var_diff_real,model_var_diff_imag,ev_sum,model_sum_real,model_sum_imag,model_var_sum_real,model_var_sum_imag
44,(1.1824877701250776+1.0194169471882388j),(-1.2315938472747803-0.2655780613422394j),(-1.2575792074203491-0.013653605245053768j),(0.025985360145568848-0.2519244560971856j),(-0.06279069263796788-0.013092695442323832j),-0.038871568304152414,-0.0076819557892498815,0.00024016808833948744,0.00024016808833948744,(-1.2445865273475647-0.13961583329364657j),-1.2356898902903912,-0.13743517182180115,3.067408770573987e-05,3.067408770573987e-05
45,(1.182571573897206+1.0190912768878229j),(-1.2318613529205322-0.263630747795105j),(-1.2573596239089966-0.015517814084887505j),(0.025498270988464355-0.24811293371021748j),(-0.060909866050889605-0.012652901638972036j),-0.03688788462530939,-0.007231861766638677,0.0002406067303581949,0.0002406067303581949,(-1.2446104884147644-0.13957428093999624j),-1.2357077027704566,-0.1374014930474488,3.0669297757857095e-05,3.0669297757857095e-05
46,(1.1826504508948037+1.0187838764205441j),(-1.2321165800094604-0.26176613569259644j),(-1.2571498155593872-0.01730392873287201j),(0.025033235549926758-0.24446220695972443j),(-0.05913510774952102-0.012239360019755452j),-0.035016029905017204,-0.006808598028245674,0.00024104265662572288,0.00024104265662572288,(-1.2446331977844238-0.13953503221273422j),-1.2357244920227792,-0.13736969607082616,3.066484929126201e-05,3.066484929126201e-05
47,(1.1827248107183554+1.0184932587274063j),(-1.2323601245880127-0.25997862219810486j),(-1.2569488286972046-0.019017251208424568j),(0.024588704109191895-0.2409613709896803j),(-0.057457777939456944-0.011849855706020929j),-0.03324685848323048,-0.006409906214273639,0.00024147435442500864,0.00024147435442500864,(-1.2446544766426086-0.1394979367032647j),-1.2357403422947422,-0.1373396280354906,3.066070824453426e-05,3.066070824453426e-05
48,(1.182795012486119+1.018218105040051j),(-1.232593059539795-0.2582630515098572j),(-1.25675630569458-0.020662523806095123j),(0.024163246154785156-0.23760052770376205j),(-0.05587014830036946-0.011482400074825705j),-0.03157226391228715,-0.006033809129728396,0.0002419006345917296,0.0002419006345917296,(-1.2446746826171875-0.13946278765797615j),-1.2357553278743243,-0.13731115325145393,3.065684481895481e-05,3.065684481895481e-05
49,(1.1828613840803845+1.0179572214043469j),(-1.2328159809112549-0.2566148042678833j),(-1.256571650505066-0.022244121879339218j),(0.023755669593811035-0.23437068238854408j),(-0.05436528492542149-0.01113526498659656j),-0.029984910938140333,-0.005678503883725776,0.00024232059286077856,0.00024232059286077856,(-1.2446938157081604-0.13942946307361126j),-1.235769516286795,-0.13728414895225438,3.065323282192001e-05,3.065323282192001e-05
50,(1.1829242191317062+1.0177095324049565j),(-1.2330294847488403-0.2550295889377594j),(-1.256394386291504-0.02376604452729225j),(0.023364901542663574-0.23126354441046715j),(-0.05293690834919375-0.01080689989111594j),-0.028478196222213356,-0.005342378216698954,0.00024273354961223959,0.00024273354961223959,(-1.2447119355201721-0.13939781673252583j),-1.2357829681747434,-0.13725850450379734,3.064984909995072e-05,3.064984909995072e-05
51,(1.182983784551208+1.0174740729948326j),(-1.2332342863082886-0.2535035312175751j),(-1.2562240362167358-0.025231914594769478j),(0.022989749908447266-0.2282716166228056j),(-0.05157940235473618-0.010495814754710509j),-0.02704619616462925,-0.005023967624913099,0.00024313898757100105,0.00024313898757100105,(-1.2447291612625122-0.13936772290617228j),-1.2357957382967366,-0.13723412072998398,3.06466733916988e-05,3.06466733916988e-05
52,(1.1830403121084578+1.0172499974595322j),(-1.2334307432174683-0.2520332634449005j),(-1.256060242652893-0.026644881814718246j),(0.022629499435424805-0.22538838163018227j),(-0.05028782832917479-0.01020085250970304j),-0.025683720571007606,-0.00472200125840109,0.00024353648768737912,0.00024353648768737912,(-1.2447454929351807-0.13933907262980938j),-1.235807874422628,-0.13721091065098479,3.0643687979003964e-05,3.0643687979003964e-05
53,(1.1830940317204555+1.0170364635263391j),(-1.2336195707321167-0.2506152391433716j),(-1.2559025287628174-0.02800831012427807j),(0.022282958030700684-0.2226069290190935j),(-0.049057314628713766-0.009920681713351254j),-0.02438560675485838,-0.0044352222966076525,0.00024392588466071174,0.00024392588466071174,(-1.244761049747467-0.13931177463382483j),-1.2358194240220803,-0.1371887876063127,3.0640876135912265e-05,3.0640876135912265e-05
